"firstname","lastname","pitcher_throws","pitch_type","release_speed","plate_location_height","plate_location_side","release_height","release_side","extension","horizontal_break","induced_vertical_break","vertical_break","horizontal_approach_angle","vertical_approach_angle","horizontal_release_angle","vertical_release_angle","spin_rate","spin_axis","spin_efficiency","tilt","date","time"
"Will","Klein","Right","FB",95.08845,0.71441,-0.32716,5.15686,1.32399,5.05383,4.66513,21.56173,-10.41196,-1.297409201,-5.702638548,-2.162257137,-3.782780201,2020.802872,192.2175617,0.9999960703,12:30:00,2023-01-02,"11:52:36"
"Will","Klein","Right","FB",96.84832,3.14855,1.43799,5.15496,1.77999,5.48104,8.99392,23.07425,-7.36253,0.5228920181,-2.86951801,-1.166569582,-1.488238373,2206.519628,201.2801366,0.9951321353,12:45:00,2023-01-09,"11:45:16"
"Will","Klein","Right","FB",96.53938,1.99746,0.53237,5.31023,1.71448,5.53865,7.70907,18.80179,-12.33817,-0.4889472165,-4.775634476,-1.951640247,-2.441808529,2152.879838,202.2853087,0.9781684101,12:45:00,2023-01-09,"11:46:50"
"Will","Klein","Right","FB",95.91386,3.67596,-1.08967,5.21966,1.62781,5.36325,-0.71475,19.81784,-11.58872,-2.966679933,-2.790245181,-2.832586518,-0.6156903195,2091.008754,177.9396355,0.9770477198,12:00:00,2023-01-09,"11:49:29"
"Will","Klein","Right","FB",95.61551,2.26504,0.08819,5.22002,1.76425,5.20354,5.03652,21.96493,-9.83796,-1.284038687,-4.107283864,-2.227568033,-2.267672738,2226.791726,192.9042457,0.9860247744,12:30:00,2023-01-09,"11:49:58"
"Will","Klein","Right","FB",96.00985,2.24147,-0.64534,5.25316,1.64935,5.49636,9.93922,20.99818,-10.15926,-1.468342455,-4.217895315,-3.335404977,-2.309821264,2255.960855,205.307571,0.9826158289,12:45:00,2023-01-09,"11:56:58"
"Sam","Coonrod","Right","FB",95.15379,3.03455,-0.96445,5.24488,1.73861,5.20157,8.02697,18.57178,-13.47033,-2.082580103,-3.670230526,-3.581044387,-1.154350894,2170.125657,203.3194718,0.9499141494,12:45:00,2023-01-13,"10:47:32"
"Will","Klein","Right","FB",95.21444,2.29752,0.7265,5.32951,1.7011,5.41812,7.16552,16.73751,-14.95244,-0.3312112406,-4.706695398,-1.677617223,-1.905302729,2027.267324,203.1548259,0.9438931537,12:45:00,2023-01-13,"12:31:07"
"Will","Klein","Right","FB",95.06408,0.88906,-1.09837,5.37912,1.24354,5.45903,6.39383,18.20072,-13.63014,-1.869544692,-6.118446816,-3.068682374,-3.574171348,2044.828755,199.3602267,0.9936155374,12:45:00,2023-01-13,"12:32:44"
"Will","Klein","Right","FB",95.46031,3.39638,0.37364,5.35123,1.34994,5.55401,3.91617,16.5027,-14.83224,-0.6562663193,-3.559898734,-1.394062378,-0.7691554167,1998.889342,193.3276086,0.9640228011,12:30:00,2023-01-13,"12:38:47"
